position,category,stat,display_name,definition,reverse_quantile,category_definition
both,Passing,Total_Cmp%,Pass Accuracy %,Percentage of passes completed compared to total passes attempted.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Total_TotDist,Total Pass Distance,The total distance covered by completed passes by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Total_PrgDist,Progressive Pass Distance,The total distance covered by completed passes that advance towards the opponent's goal.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Short_Cmp,Short Passes Completed,The number of short passes completed by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Short_Att,Short Passes Attempted,The number of short passes attempted by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Short_Cmp%,Short Pass Accuracy %,Percentage of short passes completed compared to total short passes attempted.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Medium_Cmp,Medium Passes Completed,The number of medium passes completed by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Medium_Att,Medium Passes Attempted,The number of medium passes attempted by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Medium_Cmp%,Medium Pass Accuracy %,Percentage of medium passes completed compared to total medium passes attempted.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Long_Cmp,Long Passes Completed,The number of long passes completed by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Long_Att,Long Passes Attempted,The number of long passes attempted by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Long_Cmp%,Long Pass Accuracy %,Percentage of long passes completed compared to total long passes attempted.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Ast,Assists,The number of assists provided by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,xAG,Expected Assisted Goals (xAG),"Expected Assisted Goals, expected assists based on statistics.",False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Expected_xA,Expected Assists (xA),"Expected Assists, expected assists based on statistics.",False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Expected_A-xAG,Assists - xAG,The difference between Expected Assists and Expected Assisted Goals.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,KP,Key Passes,The number of 'Key Passes' made by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,1/3,Passes into Final Third,The number of passes completed in the final third of the opponent's both.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,PPA,Passes into Penalty Area,The number of passes completed in the opponent's penalty area.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,CrsPA,Crosses into Penalty Area,The number of crosses completed in the opponent's penalty area.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,PrgP,Progressive Passes,The number of progressive passes made by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Passing,Att,Pass Attempts,The total number of pass attempts.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,Pass Types_Live,Live Ball Passes,Number of passes made during live play.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,Pass Types_Dead,Dead Ball Passes,Number of passes made from dead ball situations.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,Pass Types_FK,Free Kick Passes,Number of free-kick passes.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,Pass Types_TB,Through Balls,Number of through balls.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,Pass Types_Sw,Switches,Number of switches.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,Pass Types_Crs,Crosses,Number of crosses.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,Pass Types_TI,Throw-ins,Number of throw-ins.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,Pass Types_CK,Corner Kicks,Number of corner kicks.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,Corner Kicks_In,In-swinging Corners,Number of in-swinging corner kicks.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,Corner Kicks_Out,Out-swinging Corners,Number of out-swinging corner kicks.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,Corner Kicks_Str,Straight Corners,Number of straight corner kicks.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,Outcomes_Cmp,Completed Passes,Number of completed passes.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,Outcomes_Off,Offside Passes,Number of offside passes.,True,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,Outcomes_Blocks,Blocked Passes,Number of blocked passes.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Passing,SCA_SCA,Shot-Creating Actions,The total number of 'Shot-Creating Actions' performed by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Passing,SCA_SCA90,Shot-Creating Actions per 90,The number of 'Shot-Creating Actions' per 90 minutes played by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Passing,SCA Types_PassLive,SCA via Live Passes,Number of 'Shot-Creating Actions' through live ball passes.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Passing,SCA Types_PassDead,SCA via Dead Ball Passes,Number of 'Shot-Creating Actions' through dead ball passes.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Dribbling,SCA Types_TO,SCA via Take-ons,Number of 'Shot-Creating Actions' through successful dribbles (take-ons).,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Passing,SCA Types_Sh,SCA via Shots,Number of 'Shot-Creating Actions' through shots.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Passing,SCA Types_Fld,SCA via Fouls Drawn,Number of 'Shot-Creating Actions' through fouls drawn.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Passing,SCA Types_Def,SCA via Defensive Actions,Number of 'Shot-Creating Actions' through defensive actions.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Passing,GCA_GCA,Goal-Creating Actions (GCA),The total number of 'Goal-Creating Actions' performed by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Passing,GCA_GCA90,Goal-Creating Actions per 90,The number of 'Goal-Creating Actions' per 90 minutes played by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Passing,GCA Types_PassLive,GCA via Live Passes,Number of 'Goal-Creating Actions' through live ball passes.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Passing,GCA Types_PassDead,GCA via Dead Ball Passes,Number of 'Goal-Creating Actions' through dead ball passes.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Dribbling,GCA Types_TO,GCA via Take-ons,Number of 'Goal-Creating Actions' through successful dribbles (take-ons).,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Passing,GCA Types_Sh,GCA via Shots,Number of 'Goal-Creating Actions' through shots.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Passing,GCA Types_Fld,GCA via Fouls Drawn,Number of 'Goal-Creating Actions' through fouls drawn.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Passing,GCA Types_Def,GCA via Defensive Actions,Number of 'Goal-Creating Actions' through defensive actions.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
field,Defense,Tackles_Tkl,Tackles,The number of tackle attempts made by the player.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Tackles_TklW,Tackles Won,The number of tackles won by the player.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Tkl+Int,Tackles + Interceptions,The total number of tackles and interceptions made by the player.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Tackles_Def 3rd,Tackles in Defensive Third,The number of tackles made in the defensive third.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Tackles_Mid 3rd,Tackles in Middle Third,The number of tackles made in the central third of the field.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Tackles_Att 3rd,Tackles in Attacking Third,The number of tackles made in the attacking third.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Challenges_Tkl,Challenges Won,The total number of challenges faced by the player.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Challenges_Att,Challenges,The total number of challenges faced by the player.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Challenges_Tkl%,Challenge Win %,Percentage of challenges won compared to total challenges.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Challenges_Lost,Challenges Lost,The number of challenges lost by the player.,True,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Blocks_Blocks,Blocks,The number of times the player has blocked the ball.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Blocks_Sh,Shot Blocks,The number of opponent shots blocked by the player.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Blocks_Pass,Pass Blocks,The number of opponent passes blocked by the player.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Int,Interceptions,The number of interceptions made by the player.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Clr,Clearances,The number of balls cleared by the player.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Discipline,Err,Errors,The number of errors committed by the player that led to opponent shots.,True,"Game management and mistakes — e.g., cards, fouls committed, offsides, penalties conceded, errors, own goals."
field,Dribbling,Touches_Touches,Touches,"Touches: Number of times a player touched the ball. Note: Receiving a pass, then dribbling, then sending a pass counts as one touch.",False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Touches_Def Pen,Touches in Defensive Penalty Area,Touches in defensive penalty area.,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Touches_Def 3rd,Touches in Defensive Third,Touches in defensive 1/3.,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Touches_Mid 3rd,Touches in Middle Third,Touches in middle 1/3.,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Touches_Att 3rd,Touches in Attacking Third,Touches in attacking 1/3.,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Touches_Att Pen,Touches in Attacking Penalty Area,Touches in attacking penalty area.,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Touches_Live,Live Ball Touches,"Live-ball touches. Does not include corner kicks, free kicks, throw-ins, kick-offs, goal kicks or penalty kicks.",False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Take-Ons_Att,Take-On Attempts,Number of attempts to take on defenders while dribbling.,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Take-Ons_Succ,Successful Take-Ons,"Successful Take-Ons: Number of defenders taken on successfully, by dribbling past them. Unsuccessful take-ons include attempts where the dribbler retained possession but was unable to get past the defender.",False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Take-Ons_Succ%,Take-On Success %,Successful Take-On %: Percentage of Take-Ons Completed Successfully. Unsuccessful take-ons include attempts where the dribbler retained possession but was unable to get past the defender. Minimum .5 take-ons per squad game to qualify as a leader.,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Take-Ons_Tkld,Times Tackled During Take-On,Times Tackled During Take-On: Number of times tackled by a defender during a take-on attempt.,True,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Take-Ons_Tkld%,Tackled During Take-On %,Tackled During Take-On Percentage: Percentage of time tackled by a defender during a take-on attempt. Minimum .5 take-ons per squad game to qualify as a leader.,True,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Carries_Carries,Carries,Carries: Number of times the player controlled the ball with their feet.,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Carries_TotDist,Total Carrying Distance,"Total Carrying Distance: Total distance, in yards, a player moved the ball while controlling it with their feet, in any direction.",False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Carries_PrgDist,Progressive Carrying Distance,"Progressive Carrying Distance: Total distance, in yards, a player moved the ball while controlling it with their feet towards the opponent's goal.",False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Carries_PrgC,Progressive Carries,"Progressive Carries: Carries that move the ball towards the opponent's goal line at least 10 yards from its furthest point in the last six passes, or any carry into the penalty area. Excludes carries which end in the defending 50% of the pitch.",False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Carries_1/3,Carries into Final Third,Carries into Final Third: Carries that enter the 1/3 of the pitch closest to the goal.,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Carries_CPA,Carries into Penalty Area,Carries into Penalty Area: Carries into the 18-yard box.,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Carries_Mis,Miscontrols,Miscontrols: Number of times a player failed when attempting to gain control of a ball.,True,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Carries_Dis,Dispossessed,Dispossessed: Number of times a player loses control of the ball after being tackled by an opposing player. Does not include attempted take-ons.,True,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Receiving_Rec,Passes Received,Passes Received: Number of times a player successfully received a pass.,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Dribbling,Receiving_PrgR,Progressive Passes Received,"Progressive Passes Received: Completed passes that move the ball towards the opponent's goal line at least 10 yards from its furthest point in the last six passes, or any completed pass into the penalty area. Excludes passes from the defending 40% of the pitch.",False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Discipline,Performance_CrdY,Yellow Cards,The number of yellow cards received by the player.,True,"Game management and mistakes — e.g., cards, fouls committed, offsides, penalties conceded, errors, own goals."
field,Discipline,Performance_CrdR,Red Cards,The number of red cards received by the player.,True,"Game management and mistakes — e.g., cards, fouls committed, offsides, penalties conceded, errors, own goals."
field,Discipline,Performance_2CrdY,Second Yellow Cards,The number of second yellow cards (subsequent yellow cards).,True,"Game management and mistakes — e.g., cards, fouls committed, offsides, penalties conceded, errors, own goals."
field,Discipline,Performance_Fls,Fouls Committed,The number of fouls committed by the player.,True,"Game management and mistakes — e.g., cards, fouls committed, offsides, penalties conceded, errors, own goals."
field,Dribbling,Performance_Fld,Fouls Drawn,The number of fouls suffered by the player.,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Discipline,Performance_Off,Offsides,The number of offside offenses committed by the player.,True,"Game management and mistakes — e.g., cards, fouls committed, offsides, penalties conceded, errors, own goals."
field,Passing,Performance_Crs,Crosses,The number of crosses executed by the player.,False,"Variety and execution of passes to move play — e.g., crosses, switches, through balls, set-piece delivery."
field,Defense,Performance_Int,Interceptions,The number of interceptions made by the player.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Defense,Performance_TklW,Tackles Won,The number of tackles won by the player.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Dribbling,Performance_PKwon,Penalties Won,The number of penalty kicks won by the player.,False,"Dribbling and carrying that advances play — e.g., take-ons, carries, progressive moves, receiving between lines, fouls drawn, penalties won."
field,Discipline,Performance_PKcon,Penalties Conceded,The number of penalty kicks conceded by the player.,True,"Game management and mistakes — e.g., cards, fouls committed, offsides, penalties conceded, errors, own goals."
field,Discipline,Performance_OG,Own Goals,The number of own goals scored by the player.,True,"Game management and mistakes — e.g., cards, fouls committed, offsides, penalties conceded, errors, own goals."
field,Defense,Performance_Recov,Ball Recoveries,The number of ball recoveries made by the player.,False,"Ball winning and preventing danger — e.g., tackles, interceptions, blocks, clearances, duel success."
field,Aerial,Aerial Duels_Won,Aerial Duels Won,The number of aerial duels won by the player.,False,"Effectiveness in the air — e.g., aerial duel volume and win rate."
field,Aerial,Aerial Duels_Lost,Aerial Duels Lost,The number of aerial duels lost by the player.,True,"Effectiveness in the air — e.g., aerial duel volume and win rate."
field,Aerial,Aerial Duels_Won%,Aerial Duel Win %,Percentage of aerial duels won compared to total aerial duels.,False,"Effectiveness in the air — e.g., aerial duel volume and win rate."
goalkeeper,Reflexes & Saves,Performance_GA,Goals Against,The number of goals conceded by the team when the player is on the goalkeeper. (GK),True,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Performance_GA90,Goals Against per 90,The number of goals conceded per 90 minutes played by the player. (GK),True,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Performance_SoTA,Shots on Target Against,The number of opponent shots on target faced by the team when the player is on the field. (GK),True,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Performance_Saves,Saves,The number of shots saved by the goalkeeper when the player is on the field. (GK),False,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Performance_Save%,Save %,Percentage of shots saved compared to shots faced. (GK),False,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Performance_W,Wins,The number of matches won by the team when the player is on the field. (GK),False,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Performance_D,Draws,The number of matches drawn by the team when the player is on the field. (GK),False,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Performance_L,Losses,The number of matches lost by the team when the player is on the field. (GK),True,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Performance_CS,Clean Sheets,The number of clean sheets achieved by the team when the player is on the field. (GK),False,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Performance_CS%,Clean Sheet %,Percentage of matches in which the team does not concede goals when the player is on the field. (GK),False,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Penalty Specialist,Penalty Kicks_PKatt,Penalties Faced,The number of penalty kicks attempted by the team when the player is on the field.,False,"Reading and stopping penalties — e.g., penalties faced and saved."
goalkeeper,Penalty Specialist,Penalty Kicks_PKA,Penalties Conceded,The number of penalty kicks conceded by the team when the player is on the field.,True,"Reading and stopping penalties — e.g., penalties faced and saved."
goalkeeper,Penalty Specialist,Penalty Kicks_PKsv,Penalties Saved,The number of penalty kicks saved by the team when the player is on the field.,False,"Reading and stopping penalties — e.g., penalties faced and saved."
goalkeeper,Penalty Specialist,Penalty Kicks_Save%,Penalty Save %,Percentage of penalty kicks saved compared to penalty kicks faced.,False,"Reading and stopping penalties — e.g., penalties faced and saved."
goalkeeper,Penalty Specialist,Penalty Kicks_PKm,Penalties Missed,The number of penalty kicks missed by the team when the player is on the field.,True,"Reading and stopping penalties — e.g., penalties faced and saved."
goalkeeper,Reflexes & Saves,Goals_GA,Goals Against,The number of goals conceded by the team when the player is on the field.,True,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Goals_PKA,Penalty Goals Against,The number of penalty kicks conceded by the team when the player is on the field.,True,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Goals_FK,Free Kick Goals Against,The number of free-kick goals conceded by the team when the player is on the field.,True,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Goals_CK,Corner Goals Against,The number of corner kick goals conceded by the team when the player is on the field.,True,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Goals_OG,Own Goals,The number of own goals scored by the player.,True,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Expected_PSxG,Post-Shot xG,"Post-Shot Expected Goals, expected goals based on the quality of the shot.",False,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Expected_PSxG/SoT,Post-Shot xG per Shot on Target,Post-Shot Expected Goals per shot on target.,False,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Expected_PSxG+/-,Post-Shot xG +/-,Difference between Post-Shot Expected Goals and actual goals conceded.,False,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Reflexes & Saves,Expected_/90,Expected Goals per 90,Expected goals per 90 minutes.,False,"Shot-stopping quality and handling — e.g., saves, save rate, goals prevented."
goalkeeper,Footwork & Distribution,Launched_Cmp,Launched Passes Completed,Number of launched passes completed.,False,"Quality of jeu au pied and relance — e.g., short build-up and throws, long kicks/launches, goal-kick profile."
goalkeeper,Footwork & Distribution,Launched_Att,Launched Passes Attempted,Number of launched passes attempted.,False,"Quality of jeu au pied and relance — e.g., short build-up and throws, long kicks/launches, goal-kick profile."
goalkeeper,Footwork & Distribution,Launched_Cmp%,Launched Pass Accuracy %,Percentage of launched passes completed.,False,"Quality of jeu au pied and relance — e.g., short build-up and throws, long kicks/launches, goal-kick profile."
goalkeeper,Footwork & Distribution,Passes_Att (GK),Passes Attempted,Number of passes attempted by the goalkeeper.,False,"Quality of jeu au pied and relance — e.g., short build-up and throws, long kicks/launches, goal-kick profile."
goalkeeper,Footwork & Distribution,Passes_Thr,Throws,Number of throws by the goalkeeper.,False,"Quality of jeu au pied and relance — e.g., short build-up and throws, long kicks/launches, goal-kick profile."
goalkeeper,Footwork & Distribution,Passes_Launch%,Pass Launch %,Percentage of passes launched by the goalkeeper.,False,"Quality of jeu au pied and relance — e.g., short build-up and throws, long kicks/launches, goal-kick profile."
goalkeeper,Footwork & Distribution,Passes_AvgLen,Average Pass Length,Average length of passes by the goalkeeper.,False,"Quality of jeu au pied and relance — e.g., short build-up and throws, long kicks/launches, goal-kick profile."
goalkeeper,Footwork & Distribution,Goal Kicks_Att,Goal Kicks Attempted,Number of goal kicks attempted.,False,"Quality of jeu au pied and relance — e.g., short build-up and throws, long kicks/launches, goal-kick profile."
goalkeeper,Footwork & Distribution,Goal Kicks_Launch%,Goal Kick Launch %,Percentage of goal kicks launched.,False,"Quality of jeu au pied and relance — e.g., short build-up and throws, long kicks/launches, goal-kick profile."
